No	挑戦回数	キャラ	タイム	お菓子消費数	挑戦日時	星	スタート地点	ゴール地点	配信タイトル	配信URL	ショートタイトル	ショートURL
1	1回目	調和開拓者	0:23:11	586	2024/06/07	ヤリーロⅥ	郊外雪原：着地点	行政区：ブローニャ	【崩壊スターレイル】Ver2.3 予告番組ミラー同時視聴!! それまで日課とか【質問歓迎】	https://www.youtube.com/watch?v=KEg1qxYFFJg	これが一番速いと思います【崩壊スターレイル】	https://www.youtube.com/shorts/YBQEeLsOB2g
2	1回目	ジェイド	0:09:47	245	2024/07/11	ピノコニー	暉長石号：ブリッジ	暉長石号：「ポーンショップヒスイ」の風船を割る	【崩壊スターレイル】ジェイドで階差宇宙をやろう【質問歓迎】	https://www.youtube.com/watch?v=VRkUTUzC1kA	秘技RTA日本代表【崩壊スターレイル】	https://www.youtube.com/shorts/JW_n4i7ao_M
3	1回目	巡狩なのか	0:07:35	239	2024/08/18	仙舟「羅浮」	星槎海中枢：剣術訓練人形	星槎海中枢：不夜侯で仙人爽快茶を買う	【崩壊スターレイル】やりたいことやる(適当)【Honkai: Star Rail】	https://www.youtube.com/watch?v=kt10lsnfcRk	秘技RTA界の新星は破竹の勢い【崩壊スターレイル】	https://www.youtube.com/shorts/wraVAj5XNN8
4	1回目	霊砂	0:21:54	659	2024/10/04	仙舟「羅浮」	工造司：玄機坪	丹鼎司：霊砂	縁日イベントと地獄の秘技RTA【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=UJO-haF2fHI	霊砂秘技RTAはこれが1番速いと思います【崩壊スターレイル】	https://www.youtube.com/shorts/9KbozFpE_tk
5	1回目	サンデー	1:04:14	1356	2024/12/10	ピノコニー	ピノコニー大劇場：昇り廊下	ピノコニー大劇場：歴戦余韻・現世の夢の礼賛	サンデー秘技RTAを開催します【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=BTWtLQU4MoM	サンデー秘技RTAで世界新記録が出ました【崩壊スターレイル】	https://www.youtube.com/shorts/wRTbPVWcvRk
6	1回目	帰忘の流離人	0:23:00	578	2024/12/31	仙舟「羅浮」	星槎海中枢：流雲渡しから入ったところ	星槎海中枢：司辰宮の御空	新情報にRTAにスタレ納め【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=pghghe3rGkE	元日といえば停雲秘技RTA【崩壊スターレイル】	https://www.youtube.com/shorts/l5UokgEaKF8
7	1回目	マダム・ヘルタ	0:17:33	429	2025/01/19	宇宙ステーション「ヘルタ」	主制御部分：観察区	主制御部分：ヘルタのオフィスの模擬宇宙	ver3.0 第8回開拓学会定例会【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=0BspIUZ_2sU	面白いの見せてよ(秘技RTA)【崩壊スターレイル】	https://www.youtube.com/shorts/lHJtiwrdCA8
8	1回目	記憶開拓者	0:26:00	629	2025/01/31	オンパロス	「運命の深淵」ヤヌサポリス：長夢の宮門	「運命の深淵」ヤヌサポリス：オロニクス	動画鑑賞と秘技RTA【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=arSPn-CcPIY	オロニクスの元へ帰る秘技RTA【崩壊スターレイル】	https://www.youtube.com/shorts/Z1Wv6_g-SYw
9	1回目	アグライア	0:03:17	59	2025/02/28	オンパロス	「永遠の聖都」オクヘイマ：郷愁の道	「永遠の聖都」オクヘイマ：アグライア	色々やります【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=pa-BYXmQNKQ	アグライアの秘技RTAで感覚がバグった【崩壊スターレイル】	https://www.youtube.com/shorts/opmB3sBEfz8
10	2回目	アグライア	0:06:54	137	2025/02/28	オンパロス	「永遠の聖都」オクヘイマ：郷愁の道	「永遠の聖都」オクヘイマ：アグライア経由でスタート地点のラインにタッチ	色々やります【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=pa-BYXmQNKQ	アグライアの秘技RTAで感覚がバグった【崩壊スターレイル】	https://www.youtube.com/shorts/opmB3sBEfz8
11	1回目	トリビー	0:26:01	580	2025/03/09	オンパロス	「神託の聖地」ヤヌサポリス：拝謁の道	「神託の聖地」ヤヌサポリス：疑似花萼のところのラインをタッチ	トリビー秘技RTAと階差宇宙【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=wjL5fbn8ygc	明日への旅立ち(秘技RTA)【崩壊スターレイル】	https://www.youtube.com/shorts/FxS2jkVqoDY
12	1回目	モーディス	0:47:04	972	2025/03/22	オンパロス	「血染めの戦端」クレムノス：征伐の道	「血染めの戦端」クレムノス：紛争の正殿	待望のモーディス秘技RTAと通常攻撃ティア【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=yQceBVnZ7ww	秘技で凱旋するモーディス【崩壊スターレイル】	https://www.youtube.com/shorts/E-E_WcqECdg
13	1回目	キャストリス	0:50:12	1071	2025/04/18	オンパロス	「竜骸の古城」スティコシア：古城の正門	「竜骸の古城」スティコシア：記憶の中の花海の中の残像	キャストリス秘技RTAをやろう【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=EptJFmR62Co	秘技で花海に帰るキャストリス【崩壊スターレイル】	https://www.youtube.com/shorts/qLmU54m0PWk
14	1回目	アナイクス	0:31:09	662	2025/05/01	オンパロス	「半神議院」黎明の崖：雲崖の聖道	「半神議院」黎明の崖：ケファレ	アナイクス秘技RTAとか【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=tkmzX4teWCk	秘技RTAで真理に到達する男【崩壊スターレイル】	https://www.youtube.com/shorts/WGSOXAok5es
15	1回目	ヒアンシー	3:11:19	3471	2025/05/31	オンパロス	「天穹要塞」晨昏の目：虹のふもと	「天穹要塞」晨昏の目：歴戦余韻・晨昏の回顧	【伝説】ヒアンシー秘技RTAとか【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=IV4mQZg44qA	秘技RTA史上最高の記録が出ました【崩壊スターレイル】	https://www.youtube.com/shorts/p1jqPXNGMp4
16	1回目	サフェル	0:16:00	263	2025/06/14	オンパロス	「竜骸の古城」スティコシア：古城の正門	「黄昏に沈む城」オクヘイマ：アグライアの残像に話しかける	サフェル秘技RTAとか【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=XF2ye3k1QA4	サフェル秘技でアグライアに会いに行った【崩壊スターレイル】	https://www.youtube.com/shorts/1Li2DCqcJeg
17	1回目	ファイノン	0:42:38	0	2025/07/09	オンパロス	「無光の聖堂」黎明の崖：エスカトンの祭壇	創世の渦心：潮騒の贈り物	アーチャーとかの情報観てファイノン秘技RTAと通常攻撃【ネタばれ注意】【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=zae29zSaAfY	ファイノン秘技で火種返還しに行く【ファイノンあり / 崩壊スターレイル】	https://www.youtube.com/shorts/WrnoQbCr_uw
18	1回目	セイバー	0:27:02	588	2025/07/18	ピノコニー	ピノコニー大劇場：昇り廊下	ピノコニー大劇場：歴戦余韻・現世の夢の礼賛	セイバーとアーチャーで通常攻撃と秘技RTA【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=thEr69eBZ2o	世界初セイバー秘技RTA【ファイノンなし】	https://www.youtube.com/shorts/eII6sl5IIUY
19	1回目	セイレンス	1:34:50	2056	2025/08/23	オンパロス	「歌響く大海」スティコシア：骨輝く海底	創世の渦心：潮騒の贈り物	全世界待望のセイレンス秘技RTA【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=kQj0WhriN5Y	伝説になってしまったセイレンス秘技RTA【ファイノンなし】	https://www.youtube.com/shorts/gecPYOmFzT0
20	1回目	ケリュドラ	0:58:46	1278	2025/09/06	オンパロス	「歌響く大海」スティコシア - 沈寧の燭台	「歌響く大海」スティコシア - セイレンスの記憶の残像をタッチ	ケリュドラ秘技RTAと通常攻撃とランダム裏庭について【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=ItkfL14Jk3E	秘技RTAは感覚喪失の旅【ファイノンなし】	https://www.youtube.com/shorts/8rBoK81EfJo
21	1回目	長夜月	0:25:10	516	2025/10/04	オンパロス	「万象のマトリクス」無名のタイタンの大墓 - 静域の墓門	「万象のマトリクス」無名のタイタンの大墓 - 1番奥の調べるをタッチ	全世界80億人待望の長夜月秘技RTA通常攻撃【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=_O-eQuBoMaw	再創世するために秘技RTAを頑張る長夜月【ファイノンなし】	https://www.youtube.com/shorts/-yOzSPeKpLg
22	1回目	丹恒・騰荒	2:27:35	3203	2025/10/18	オンパロス	「痕輝ける聖林」神悟の樹庭 - 焚心の傷跡	「痕輝ける聖林」神悟の樹庭 - 万象のマトリクス入口手間にある調べるをタッチ	全世界80億人待望の丹恒・騰荒秘技RTAと通常攻撃【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=NRV_XchQCQo	これは不朽の道を行くRTA	https://www.youtube.com/shorts/3KidYp6B_EE
23	1回目	キュレネ	3:39:22	203	2025/11/16	オンパロス	「歳月の彼方」永遠の1ページ -星の降るドーム	「歳月の彼方」永遠の1ページ -星の降るドーム	お待たせしました!! キュレネ秘技RTAやります【崩壊スターレイル / Honkai: Star Rail】	https://www.youtube.com/watch?v=eguLC85D-ro	これはロマンチックなRTA	https://www.youtube.com/shorts/g7t7bqmU5Wg
24	1回目	ダリア	0:14:19	434	2025/12/27	ピノコニー	ドリームリーフ：稚児の月光	ドリームリーフ：炎の如く我が心の部屋の机の調べるをタッチ		https://www.youtube.com/watch?v=4MBH98Fw7ZE	お待たせしました!! 今年最後のダリア秘技RTAをやります【崩壊スターレイル / Honkai: Star Rail】	